 c(mmol/L)            Impurity(mg/L)      
 0.0735               1.1350             
 0.1579               1.0412             
 0.3149               0.8262             
 0.4501               1.2447             
 0.3236               0.6805             
 0.5623               1.3174             
 0.6648               1.8777             
 0.9145               2.4209             
 0.8934               5.3149             
 1.0078               3.3090             
 1.0368               6.4327             
 1.2197               4.0544             
 1.2460               3.4617             
 1.3953               3.8408             
 1.5445               5.1987             
 1.5381               5.4607             
 1.7782               8.8731             
 1.8344               7.2585             
 1.8119               4.7565             
 2.0034               5.2963             
 2.1283               5.2495             
 2.2624               6.3492             
 2.2468               5.9090             
 2.3416               9.0604             
 2.4621               5.1463             
 2.5693               4.6920             
 2.6933               6.0929             
 2.7754               5.3295             
 2.9349               4.8250             
 2.9571               3.9890             
 3.0140               3.6577             
 3.3144               3.0849             
 3.2522               3.4327             
 3.3899               3.5941             
 3.4605               3.7490             
 3.5627               3.5531             
 3.6510               2.7992             
 3.8291               3.6257             
 3.9161               4.9323             
 3.9190               4.3752             
 4.0443               3.8535             
 4.1863               1.7982             
 4.3673               4.2123             
 4.3444               3.4426             
 4.4597               2.9348             
 4.6539               3.6341             
 4.6884               1.4648             
 4.8949               1.7805             
 4.8761               0.8256             
