Inlet_Diameter_(cm),Maximum_Capacity_(GPM),Max_Head_(ft),Minimum_Thickness_(mm)
15.76913061,15047.42186,544.3307313,9.653682582
15.9480481,14403.36271,543.9306078,10.1923898
15.0815349,14615.33041,542.0920558,11.00784661
14.60121797,14619.02171,542.9129716,11.42796377
15.1348995,15151.66826,542.669115,9.611460685
15.1348995,14282.30537,542.2093221,9.535571343
14.87432291,14617.91448,541.1802704,10.36567459
14.93097415,14728.57679,541.089045,10.23468216
15.08599723,14664.69905,542.9595743,10.13743913
14.6954915,14735.47153,545.7366915,11.02597041
14.8580781,15162.58526,543.6995208,9.540493284
14.99547154,14307.66549,542.5019031,10.29916624
14.91168789,14714.14043,541.478298,10.56927985
14.1218524,14787.17081,544.6872285,9.750596918
14.8580781,14278.14954,544.0600533,9.859676976
14.97903905,14968.52611,542.9566812,10.32417929
15.26653506,14605.07041,541.8133274,10.49998627
15.52402405,14866.56689,543.6419452,10.83160692
15.58063085,14848.73435,544.9245418,10.41961272
15.55677273,14635.09189,542.6252703,10.07533558
14.48433852,14992.01248,543.5252186,10.46473218
14.10243595,14612.98523,544.4515363,9.470439824
15.28951263,14742.84763,541.6262047,10.83148142
14.79216926,14641.75835,541.7629843,11.32565376
14.9126967,14870.32423,545.4335933,10.50649359
14.6109262,14647.29187,543.5290466,10.49995886
14.3806602,14386.8357,544.2302356,10.14821472
14.98887345,14750.16393,541.6041316,10.56543392
14.92609585,14690.48105,540.0537718,10.81061403
15.86604444,14890.00525,544.6433768,9.631545479
14.6,15126.54097,543.6470189,10.43556256
15.6,14603.73416,544.768621,10.54521136
14.98696488,14669.27906,542.2940157,10.40400874
14.29098301,14392.63935,543.0680035,10.39188705
15.40901699,15056.83673,542.906048,10.00373596
14.21705241,14540.72341,545.0998083,9.422350981
14.1218524,14605.70953,543.3275514,9.791611861
15.9480481,14975.00756,542.7176478,10.28514743
14.92064061,14763.03986,541.729207,10.24588019
15.25120316,14728.51204,541.1903202,10.27827486
15.04773577,14840.53704,544.4377543,10.83375469
15.48302222,14761.44773,543.776271,10.80335771
15.58063085,14724.40654,544.0001044,10.2201274
15.59513403,14700.74217,545.6142822,10.30408113
15.09557112,14751.91192,541.6424976,10.43226088
15.31918557,14880.89077,542.3545789,10.64365585
15.17978592,14793.60688,541.5754158,10.81694412
15.4345653,14898.7929,542.0055289,10.05803722
16.01354546,14857.83103,544.3410878,9.902022477
15.31918557,14438.55943,543.4872774,10.41382241
15.53837115,14258.80063,542.1633959,9.372252176
15.06830246,14756.30025,539.9698145,10.3107255
15.2925906,14676.80818,541.9569201,10.17361687
15.6591929,15108.37194,544.1145685,10.27700239
14.99570437,14685.23719,540.8729556,10.70667907
14.92942366,14648.58271,540.7865404,10.35889534
14.83163988,14641.63267,540.084196,10.5735035
16.0612617,14903.86182,544.1550163,9.44332529
15.07396581,14727.26909,543.2590735,10.58912439
15.11744975,14482.18354,542.4621413,10.90380542
16.1,14648.58271,543.2947535,10.41617143
15.52402405,14869.02371,543.3429964,10.2342175
15.76913061,14469.96974,542.6755113,9.800019039
16.01354546,14553.74456,543.987288,9.959630604
14.98158097,14774.46697,541.0665201,10.34193381
14.6,14447.73432,542.9416263,9.91300524
14.9126967,14505.04428,544.6480031,10.6963683
14.9356039,14676.41412,541.2771261,10.63459549
14.63015369,14674.4436,542.1791511,10.71901771
14.6954915,14510.1964,542.6317145,10.64865694
14.92700749,14617.13844,540.8887691,10.08717554
16.1,14603.73416,543.1272553,9.553461142
15.00820816,14640.88782,540.6205208,10.66031584
15.01790444,14666.26783,540.1812328,10.15436836
15.55677273,14776.4837,545.7870796,10.29677654
14.6585262,14634.61773,543.4729984,11.05488351
15.9480481,14972.55074,543.9032114,10.36154978
14.72539341,14319.60751,543.3968184,9.522307834
15.21179648,14767.22767,541.7532173,10.31854909
14.3806602,14942.00948,543.4558329,9.898696944
15.58063085,14630.10972,545.5073282,10.73414063
15.4345653,14618.5987,543.5553518,10.84917176
15.6,14648.58271,544.9749354,10.26757534
15.37959645,14942.56443,542.8985714,10.54650005
14.93101838,14716.43922,540.4100562,10.48524209
15.15401623,14794.14448,539.8367831,9.993574516
15.29273368,14705.07827,540.7498652,10.13453097
15.1952704,14670.52169,541.2580458,10.89924187
14.97903905,14472.20868,544.6675013,10.34427767
15.53837115,15060.64958,543.1919493,9.273587959
15.6591929,14373.46324,542.4810552,9.482207603
14.85,14953.33589,544.7870495,10.54341665
15.18682409,14953.2618,543.6923214,10.34475215
15.37959645,14539.27075,544.052086,10.84216865
14.99547154,15039.44142,542.5631415,10.34054882
16.0612617,14779.53401,543.5859076,10.14327691
15.00076904,14632.8902,540.6984143,10.58525877
15.86604444,14354.01686,543.5752867,9.769138279
15.18682409,14530.30754,545.4911478,11.1259508
14.98025871,14799.3605,539.9949829,10.45750203
15.55677273,14786.71153,542.1455272,10.25010786
14.63015369,14750.7049,545.2287167,11.01403627
15.28448316,14701.13196,541.1657666,10.92677661
15.03503271,14684.88746,541.8727431,10.14433302
14.72539341,15055.761,542.7599006,9.713369278
14.6109262,14745.58847,543.426116,9.972242892
15.25626894,14704.00613,540.3965861,11.05613573
15.227189,14780.13081,542.3406344,10.6864723
