 x            y           
-1.555556     1.053130   
 1.717172     4.239924   
 0.101010     0.594050   
-1.070707     0.629858   
-0.585859     0.405727   
 1.757576     4.810278   
-1.838384     1.556490   
 1.030303     2.069449   
 0.222222     0.685768   
 1.878788     5.017124   
-0.949495     0.567816   
-0.464646     0.377200   
-1.393939     1.084022   
-0.868687     0.504709   
-0.020202     0.486067   
 1.070707     2.860755   
-1.717172     1.259773   
 1.636364     5.394008   
 0.585859     1.102214   
 0.545455     1.185807   
 0.626263     1.336579   
 0.060606     0.546668   
 1.838384     5.619929   
-0.747475     0.450627   
 1.515152     4.470184   
 0.868687     2.023296   
-0.828283     0.477982   
-0.060606     0.456266   
-1.676768     1.505618   
-1.515152     1.063013   
 1.151515     2.565314   
-0.505051     0.395184   
-1.272727     0.912931   
-2.000000     1.932530   
 1.797980     4.131976   
-0.222222     0.363554   
-0.343434     0.356782   
-0.626263     0.381700   
 0.424242     0.850327   
 0.666667     1.590300   
 1.919192     4.887415   
-0.262626     0.401290   
-1.474747     1.237457   
 1.272727     3.575485   
 1.232323     3.271907   
-1.595960     1.298422   
-0.909091     0.537899   
-1.111111     0.718843   
 0.464646     0.996067   
-1.636364     1.377354   
 0.909091     1.966268   
-1.313131     0.892518   
 1.434343     3.028695   
 0.787879     1.944339   
-0.101010     0.437517   
 1.676768     3.688691   
 1.555556     3.409470   
-1.151515     0.741956   
 1.595960     4.511806   
 0.949495     1.801733   
-1.191919     0.833857   
-1.959596     1.768183   
-0.545455     0.357636   
 1.353535     2.828504   
 0.343434     0.814833   
 1.393939     3.634940   
-1.030303     0.612199   
-0.181818     0.401852   
 1.959596     6.458366   
 0.505051     1.090287   
-0.666667     0.407189   
 0.141414     0.600338   
 1.474747     4.378325   
 0.181818     0.662521   
-0.424242     0.326634   
 0.747475     1.648256   
 1.191919     2.794810   
 0.989899     2.261404   
-1.757576     1.748031   
-0.989899     0.579763   
