Sample       Temp(C)      c_A(M)       c_B(M)       Purity(%)   
000000       10.000000    0.100000     0.500000     0.542962    
000001       10.000000    0.100000     0.600000     0.461638    
000002       10.000000    0.100000     0.700000     0.428392    
000003       10.000000    0.100000     0.800000     0.450456    
000004       10.000000    0.100000     0.900000     0.506773    
000005       10.000000    0.200000     0.500000     0.504554    
000006       10.000000    0.200000     0.600000     0.521451    
000007       10.000000    0.200000     0.700000     0.470318    
000008       10.000000    0.200000     0.800000     0.499891    
000009       10.000000    0.200000     0.900000     0.510357    
000010       10.000000    0.300000     0.500000     0.514771    
000011       10.000000    0.300000     0.600000     0.516131    
000012       10.000000    0.300000     0.700000     0.400839    
000013       10.000000    0.300000     0.800000     0.430644    
000014       10.000000    0.300000     0.900000     0.469870    
000015       10.000000    0.400000     0.500000     0.510641    
000016       10.000000    0.400000     0.600000     0.505981    
000017       10.000000    0.400000     0.700000     0.492218    
000018       10.000000    0.400000     0.800000     0.521465    
000019       10.000000    0.400000     0.900000     0.517369    
000020       10.000000    0.500000     0.500000     0.514248    
000021       10.000000    0.500000     0.600000     0.501745    
000022       10.000000    0.500000     0.700000     0.456760    
000023       10.000000    0.500000     0.800000     0.462558    
000024       10.000000    0.500000     0.900000     0.493964    
000025       20.000000    0.100000     0.500000     0.622969    
000026       20.000000    0.100000     0.600000     0.629401    
000027       20.000000    0.100000     0.700000     0.577687    
000028       20.000000    0.100000     0.800000     0.609082    
000029       20.000000    0.100000     0.900000     0.567091    
000030       20.000000    0.200000     0.500000     0.547685    
000031       20.000000    0.200000     0.600000     0.605037    
000032       20.000000    0.200000     0.700000     0.595372    
000033       20.000000    0.200000     0.800000     0.527468    
000034       20.000000    0.200000     0.900000     0.594175    
000035       20.000000    0.300000     0.500000     0.592626    
000036       20.000000    0.300000     0.600000     0.579637    
000037       20.000000    0.300000     0.700000     0.505196    
000038       20.000000    0.300000     0.800000     0.609509    
000039       20.000000    0.300000     0.900000     0.612827    
000040       20.000000    0.400000     0.500000     0.626835    
000041       20.000000    0.400000     0.600000     0.575022    
000042       20.000000    0.400000     0.700000     0.586019    
000043       20.000000    0.400000     0.800000     0.534597    
000044       20.000000    0.400000     0.900000     0.566895    
