,year,plant,yield(tons),costs(100k)
0,2015,lafayette,61.80160164456647,70.65898593939056
1,2016,lafayette,61.62406969733478,70.69034979378982
2,2017,lafayette,63.62715768990257,71.5419601152094
3,2018,lafayette,63.28219586549433,68.68557682100152
4,2019,lafayette,73.33265199775386,74.52384674120214
5,2020,lafayette,75.88523022451525,66.96770478430903
0,2015,houston,67.13520890757435,71.52105500536385
1,2016,houston,72.14058171940616,74.97192144037749
2,2017,houston,59.09635398511537,70.17462282553042
3,2018,houston,65.09206805921336,69.03611555647606
4,2019,houston,65.63626261391093,65.5844676359522
5,2020,houston,71.00638420728535,65.45195710250155
0,2015,baton_rouge,73.64655630246554,72.79670035104121
1,2016,baton_rouge,63.46069979085217,70.21727320721571
2,2017,baton_rouge,59.453030261632435,70.05476634902378
3,2018,baton_rouge,63.33041521345448,65.65206250850392
4,2019,baton_rouge,63.63920658597943,69.08248899222143
5,2020,baton_rouge,69.22656140391274,72.03222017317333
