cm^-1,Intensity
450.0,305.0
490.0,204.0
530.0,443.0
570.0,554.0
610.0,227.0
650.0,272.0
690.0,261.0
730.0,326.0
770.0,298.0
810.0,320.0
850.0,604.0
890.0,471.0
930.0,815.0
970.0,1237.0
1010.0,2239.0
1050.0,4703.0
1090.0,2552.0
1130.0,776.0
1170.0,696.0
1210.0,1073.0
1250.0,953.0
1290.0,931.0
1330.0,862.0
1370.0,1308.0
1410.0,1018.0
1450.0,1147.0
1490.0,858.0
1530.0,202.0
1570.0,149.0
1610.0,125.0
1650.0,116.0
1690.0,104.0
1730.0,108.0
1770.0,103.0
1810.0,84.0
1850.0,83.0
1890.0,79.0
1930.0,77.0
1970.0,74.0
2010.0,82.0
2050.0,89.0
2090.0,69.0
2130.0,49.0
2170.0,53.0
2210.0,49.0
2250.0,39.0
2290.0,44.0
2330.0,58.0
2370.0,0.0
2410.0,42.0
2450.0,17.0
2490.0,3.0
2530.0,21.0
2570.0,36.0
2610.0,61.0
2650.0,96.0
2690.0,159.0
2730.0,266.0
2770.0,401.0
2810.0,614.0
2850.0,2290.0
2890.0,6519.0
2930.0,9063.0
2970.0,9072.0
3010.0,934.0
3050.0,277.0
3090.0,156.0
3130.0,99.0
3170.0,82.0
3210.0,68.0
3250.0,26.0
3290.0,0.0
3330.0,19.0
3370.0,30.0
3410.0,44.0
3450.0,36.0
3490.0,60.0
3530.0,30.0
3570.0,31.0
3610.0,77.0
3650.0,743.0
3690.0,811.0
3730.0,114.0
3770.0,92.0
3810.0,101.0
3850.0,151.0
3890.0,107.0
3930.0,87.0
