cm^-1,Intensity
386.531,0.879
391.229523,0.879
395.928046,0.879
400.626569,0.876
405.325091,0.874
410.023614,0.87
414.722137,0.858
419.42066,0.844
424.119183,0.832
428.817706,0.822
433.516229,0.816
438.214751,0.818
442.913274,0.825
447.611797,0.839
452.31032,0.863
457.008843,0.887
461.707366,0.906
466.405889,0.919
471.104411,0.922
475.802934,0.924
480.501457,0.921
485.19998,0.914
489.898503,0.908
494.597026,0.908
499.295549,0.911
503.994072,0.914
508.692594,0.919
513.391117,0.933
518.08964,0.937
522.788163,0.941
527.486686,0.944
532.185209,0.946
536.883732,0.946
541.582254,0.946
546.280777,0.946
550.9793,0.947
555.677823,0.949
560.376346,0.951
565.074869,0.953
569.773392,0.956
574.471914,0.957
579.170437,0.957
583.86896,0.959
588.567483,0.962
593.266006,0.963
597.964529,0.963
602.663052,0.967
607.361574,0.972
612.060097,0.975
616.75862,0.979
621.457143,0.983
626.155666,0.988
630.854189,0.992
635.552712,0.995
640.251234,0.998
644.949757,1.001
649.64828,1.001
654.346803,1.004
659.045326,1.005
663.743849,1.008
668.442372,1.011
673.140895,1.013
677.839417,1.016
682.53794,1.017
687.236463,1.018
691.934986,1.018
696.633509,1.017
701.332032,1.014
706.030555,1.016
710.729077,1.017
715.4276,1.018
720.126123,1.018
724.824646,1.014
729.523169,1.007
734.221692,1.007
738.920215,1.008
743.618737,1.005
748.31726,1.005
753.015783,1.005
757.714306,1.005
762.412829,1.004
767.111352,0.998
771.809875,0.982
776.508397,0.967
781.20692,0.95
785.905443,0.937
790.603966,0.917
795.302489,0.896
800.001012,0.89
804.699535,0.883
809.398057,0.877
814.09658,0.868
818.795103,0.855
823.493626,0.826
828.192149,0.797
832.890672,0.746
837.589195,0.703
842.287717,0.684
846.98624,0.685
851.684763,0.7
856.383286,0.701
861.081809,0.745
865.780332,0.8
870.478855,0.842
875.177378,0.879
879.8759,0.905
884.574423,0.921
889.272946,0.931
893.971469,0.934
898.669992,0.918
903.368515,0.892
908.067038,0.852
912.76556,0.815
917.464083,0.781
922.162606,0.736
926.861129,0.671
931.559652,0.668
936.258175,0.695
940.956698,0.701
945.65522,0.721
950.353743,0.838
955.052266,0.896
959.750789,0.921
964.449312,0.93
969.147835,0.93
973.846358,0.925
978.54488,0.914
983.243403,0.903
987.941926,0.89
992.640449,0.874
997.338972,0.852
1002.037495,0.812
1006.736018,0.758
1011.43454,0.71
1016.133063,0.669
1020.831586,0.62
1025.530109,0.569
1030.228632,0.525
1034.927155,0.5
1039.625678,0.49
1044.3242,0.494
1049.022723,0.478
1053.721246,0.43
1058.419769,0.394
1063.118292,0.305
1067.816815,0.219
1072.515338,0.165
1077.213861,0.176
1081.912383,0.184
1086.610906,0.189
1091.309429,0.276
1096.007952,0.333
1100.706475,0.33
1105.404998,0.238
1110.103521,0.122
1114.802043,0.058
1119.500566,0.01
1124.199089,0.007
1128.897612,0.008
1133.596135,0.008
1138.294658,0.008
1142.993181,0.011
1147.691703,0.013
1152.390226,0.014
1157.088749,0.029
1161.787272,0.036
1166.485795,0.053
1171.184318,0.084
1175.882841,0.139
1180.581363,0.167
1185.279886,0.205
1189.978409,0.24
1194.676932,0.275
1199.375455,0.33
1204.073978,0.441
1208.772501,0.554
1213.471023,0.669
1218.169546,0.723
1222.868069,0.758
1227.566592,0.768
1232.265115,0.777
1236.963638,0.78
1241.662161,0.778
1246.360684,0.775
1251.059206,0.767
1255.757729,0.743
1260.456252,0.717
1265.154775,0.694
1269.853298,0.668
1274.551821,0.646
1279.250344,0.62
1283.948866,0.592
1288.647389,0.564
1293.345912,0.521
1298.044435,0.509
1302.742958,0.526
1307.441481,0.56
1312.140004,0.589
1316.838526,0.6621
1321.537049,0.774
1326.235572,0.796
1330.934095,0.767
1335.632618,0.6758
1340.331141,0.458
1345.029664,0.174
1349.728186,0.173
1354.426709,0.184
1359.125232,0.123
1363.823755,0.132
1368.522278,0.192
1373.220801,0.1549
1377.919324,0.069
1382.617846,0.065
1387.316369,0.064
1392.014892,0.056
1396.713415,0.066
1401.411938,0.197
1406.110461,0.339
1410.808984,0.474
1415.507506,0.516
1420.206029,0.529
1424.904552,0.49
1429.603075,0.473
1434.301598,0.455
1439.000121,0.435
1443.698644,0.438
1448.397167,0.422
1453.095689,0.411
1457.794212,0.403
1462.492735,0.465
1467.191258,0.487
1471.889781,0.454
1476.588304,0.478
1481.286827,0.535
1485.985349,0.563
1490.683872,0.58
1495.382395,0.663
1500.080918,0.691
1504.779441,0.727
1509.477964,0.754
1514.176487,0.828
1518.875009,0.845
1523.573532,0.861
1528.272055,0.883
1532.970578,0.89
1537.669101,0.905
1542.367624,0.877
1547.066147,0.908
1551.764669,0.912
1556.463192,0.912
1561.161715,0.8612
1565.860238,0.915
1570.558761,0.9169
1575.257284,0.921
1579.955807,0.925
1584.654329,0.931
1589.352852,0.933
1594.051375,0.934
1598.749898,0.934
1603.448421,0.934
1608.146944,0.934
1612.845467,0.934
1617.543989,0.9209
1622.242512,0.917
1626.941035,0.931
1631.639558,0.928
1636.338081,0.88
1641.036604,0.925
1645.735127,0.922
1650.43365,0.921
1655.132172,0.8641
1659.830695,0.922
1664.529218,0.908
1669.227741,0.919
1673.926264,0.918
1678.624787,0.917
1683.32331,0.882
1688.021832,0.915
1692.720355,0.917
1697.418878,0.898
1702.117401,0.8761
1706.815924,0.914
1711.514447,0.919
1716.21297,0.903
1720.911492,0.918
1725.610015,0.918
1730.308538,0.911
1735.007061,0.871
1739.705584,0.886
1744.404107,0.88
1749.10263,0.877
1753.801152,0.88
1758.499675,0.886
1763.198198,0.896
1767.896721,0.902
1772.595244,0.898
1777.293767,0.912
1781.99229,0.912
1786.690812,0.911
1791.389335,0.901
1796.087858,0.914
1800.786381,0.925
1805.484904,0.931
1810.183427,0.934
1814.88195,0.935
1819.580473,0.938
1824.278995,0.934
1828.977518,0.934
1833.676041,0.938
1838.374564,0.935
1843.073087,0.921
1847.77161,0.933
1852.470133,0.93
1857.168655,0.928
1861.867178,0.927
1866.565701,0.925
1871.264224,0.922
1875.962747,0.93
1880.66127,0.928
1885.359793,0.925
1890.058315,0.922
1894.756838,0.918
1899.455361,0.914
1904.153884,0.911
1908.852407,0.906
1913.55093,0.899
1918.249453,0.892
1922.947975,0.88
1927.646498,0.882
1932.345021,0.885
1937.043544,0.88
1941.742067,0.883
1946.44059,0.886
1951.139113,0.882
1955.837635,0.87
1960.536158,0.852
1965.234681,0.818
1969.933204,0.778
1974.631727,0.74
