cm^-1,Intensity
454.005,1.014
458.698378,1.014
463.391756,1.018
468.085134,1.021
472.778512,1.029
477.47189,1.034
482.165268,1.042
486.858646,1.05
491.552024,1.055
496.245402,1.061
500.93878,1.058
505.632158,1.059
510.325536,1.058
515.018914,1.059
519.712292,1.062
524.40567,1.062
529.099048,1.059
533.792426,1.053
538.485804,1.049
543.179182,1.045
547.87256,1.042
552.565937,1.039
557.259315,1.042
561.952693,1.049
566.646071,1.05
571.339449,1.055
576.032827,1.058
580.726205,1.063
585.419583,1.068
590.112961,1.068
594.806339,1.071
599.499717,1.071
604.193095,1.069
608.886473,1.068
613.579851,1.065
618.273229,1.065
622.966607,1.063
627.659985,1.063
632.353363,1.066
637.046741,1.072
641.740119,1.077
646.433497,1.079
651.126875,1.081
655.820253,1.081
660.513631,1.082
665.207009,1.082
669.900387,1.091
674.593765,1.075
679.287143,1.066
683.980521,1.058
688.673899,1.052
693.367277,1.04
698.060655,1.036
702.754033,1.03
707.447411,1.02
712.140789,1.014
716.834167,1.002
721.527545,1.007
726.220923,1.002
730.914301,0.994
735.607679,0.982
740.301057,0.985
744.994435,0.981
749.687812,0.984
754.38119,0.973
759.074568,0.981
763.767946,0.973
768.461324,0.972
773.154702,0.975
777.84808,0.959
782.541458,0.982
787.234836,0.979
791.928214,0.982
796.621592,0.981
801.31497,0.981
806.008348,0.976
810.701726,0.976
815.395104,0.97
820.088482,0.962
824.78186,0.952
829.475238,0.937
834.168616,0.895
838.861994,0.867
843.555372,0.799
848.24875,0.779
852.942128,0.6811
857.635506,0.619
862.328884,0.59
867.022262,0.511
871.71564,0.529
876.409018,0.402
881.102396,0.3612
885.795774,0.3749
890.489152,0.4078
895.18253,0.1489
899.875908,0.3001
904.569286,0.322
909.262664,0.3076
913.956042,0.125
918.64942,0.3642
923.342798,0.353
928.036176,0.1962
932.729554,0.299
937.422932,0.142
942.11631,0.126
946.809687,0.0
951.503065,0.047
956.196443,0.125
960.889821,0.216
965.583199,0.245
970.276577,0.081
974.969955,0.2551
979.663333,0.0791
984.356711,0.2421
989.050089,0.379
993.743467,0.283
998.436845,0.302
1003.130223,0.231
1007.823601,0.1972
1012.516979,0.338
1017.210357,0.408
1021.903735,0.3089
1026.597113,0.3239
1031.290491,0.447
1035.983869,0.5018
1040.677247,0.59
1045.370625,0.52
1050.064003,0.5978
1054.757381,0.652
1059.450759,0.633
1064.144137,0.745
1068.837515,0.6562
1073.530893,0.779
1078.224271,0.819
1082.917649,0.841
1087.611027,0.877
1092.304405,0.895
1096.997783,0.895
1101.691161,0.924
1106.384539,0.934
1111.077917,0.95
1115.771295,0.97
1120.464673,0.962
1125.158051,0.972
1129.851429,0.982
1134.544807,0.982
1139.238185,0.986
1143.931562,0.984
1148.62494,0.989
1153.318318,0.995
1158.011696,0.997
1162.705074,1.0
1167.398452,1.001
1172.09183,1.001
1176.785208,0.998
1181.478586,0.995
1186.171964,1.002
1190.865342,1.004
1195.55872,1.004
1200.252098,1.002
1204.945476,1.005
1209.638854,1.007
1214.332232,1.008
1219.02561,1.01
1223.718988,1.013
1228.412366,1.013
1233.105744,1.014
1237.799122,1.011
1242.4925,1.004
1247.185878,1.002
1251.879256,1.004
1256.572634,1.002
1261.266012,1.001
1265.95939,1.001
1270.652768,1.001
1275.346146,1.0
1280.039524,0.998
1284.732902,0.997
1289.42628,0.994
1294.119658,0.991
1298.813036,0.991
1303.506414,0.991
1308.199792,0.991
1312.89317,0.991
1317.586548,0.991
1322.279926,0.994
1326.973304,0.994
1331.666682,0.995
1336.36006,0.995
1341.053437,0.995
1345.746815,0.995
1350.440193,0.994
1355.133571,0.994
1359.826949,0.997
1364.520327,0.997
1369.213705,0.992
1373.907083,0.989
1378.600461,0.981
1383.293839,0.96
1387.987217,0.943
1392.680595,0.906
1397.373973,0.853
1402.067351,0.78
1406.760729,0.694
1411.454107,0.594
1416.147485,0.545
1420.840863,0.508
1425.534241,0.523
1430.227619,0.5752
1434.920997,0.761
1439.614375,0.9089
1444.307753,0.6041
1449.001131,0.5142
1453.694509,0.747
1458.387887,0.687
1463.081265,0.622
1467.774643,0.6539
1472.468021,0.655
1477.161399,0.658
1481.854777,0.716
1486.548155,0.771
1491.241533,0.835
1495.934911,0.8851
1500.628289,0.938
1505.321667,0.952
1510.015045,0.985
1514.708423,0.979
1519.401801,0.985
1524.095179,0.989
1528.788557,0.986
1533.481935,0.986
1538.175312,0.982
1542.86869,0.994
1547.562068,0.985
1552.255446,0.981
1556.948824,0.992
1561.642202,0.998
1566.33558,0.981
1571.028958,0.985
1575.722336,0.986
1580.415714,0.981
1585.109092,0.979
1589.80247,0.979
1594.495848,0.979
1599.189226,0.981
1603.882604,0.978
1608.575982,0.981
1613.26936,0.978
1617.962738,0.986
1622.656116,0.981
1627.349494,0.975
1632.042872,0.972
1636.73625,0.982
1641.429628,0.969
1646.123006,0.985
1650.816384,0.97
1655.509762,0.976
1660.20314,0.973
1664.896518,0.973
1669.589896,0.988
1674.283274,0.984
1678.976652,0.976
1683.67003,0.994
1688.363408,0.976
1693.056786,0.976
1697.750164,0.992
1702.443542,0.985
1707.13692,0.979
1711.830298,0.981
1716.523676,0.991
1721.217054,0.973
1725.910432,0.973
1730.603809,0.975
1735.297187,0.976
1739.990565,0.982
1744.683943,0.978
1749.377321,0.975
1754.070699,0.968
1758.764077,0.969
1763.457455,0.97
1768.150833,0.978
1772.844211,0.97
1777.537589,0.966
1782.230967,0.968
1786.924345,0.966
1791.617723,0.978
1796.311101,0.972
1801.004479,0.972
1805.697857,0.969
1810.391235,0.969
1815.084613,0.966
1819.777991,0.963
1824.471369,0.96
1829.164747,0.953
1833.858125,0.934
1838.551503,0.911
1843.244881,0.892
1847.938259,0.853
1852.631637,0.815
1857.325015,0.786
1862.018393,0.764
1866.711771,0.754
1871.405149,0.776
1876.098527,0.815
1880.791905,0.8961
1885.485283,0.882
1890.178661,0.8004
1894.872039,0.883
1899.565417,0.8369
1904.258795,0.748
1908.952173,0.707
1913.645551,0.725
1918.338929,0.742
1923.032307,0.797
1927.725684,0.8371
