cm^-1,Intensity
460.0,0.8613
465.0,0.8619
470.0,0.8612
475.0,0.8603
480.0,0.8587
485.0,0.8564
490.0,0.8536
495.0,0.8502
500.0,0.8468
505.0,0.8422
510.0,0.8376
515.0,0.833
520.0,0.8296
525.0,0.83
530.0,0.8252
535.0,0.8314
540.0,0.8333
545.0,0.8316
550.0,0.8324
555.0,0.8348
560.0,0.821
565.0,0.7992
570.0,0.7254
575.0,0.6461
580.0,0.5668
585.0,0.494
590.0,0.4663
595.0,0.5008
600.0,0.6198
605.0,0.1794
610.0,0.7403
615.0,0.5513
620.0,0.3611
625.0,0.3619
630.0,0.4528
635.0,0.5823
640.0,0.7559
645.0,0.8249
650.0,0.8518
655.0,0.8605
660.0,0.862
665.0,0.85
670.0,0.867
675.0,0.8699
680.0,0.8704
685.0,0.8687
690.0,0.862
695.0,0.8476
700.0,0.808
705.0,0.7173
710.0,0.5988
715.0,0.3495
720.0,0.1296
725.0,0.066
730.0,0.0586
735.0,0.095
740.0,0.2833
745.0,0.1319
750.0,0.4524
755.0,0.1843
760.0,0.0389
765.0,0.0371
770.0,0.056
775.0,0.1541
780.0,0.2914
785.0,0.5598
790.0,0.7512
795.0,0.8227
800.0,0.8504
805.0,0.8608
810.0,0.8634
815.0,0.8643
820.0,0.8638
825.0,0.8615
830.0,0.8562
835.0,0.8428
840.0,0.8226
845.0,0.7949
850.0,0.7018
855.0,0.542
860.0,0.371
865.0,0.3465
870.0,0.3179
875.0,0.3601
880.0,0.3043
885.0,0.3176
890.0,0.5299
895.0,0.6266
900.0,0.6982
905.0,0.8007
910.0,0.8368
915.0,0.8527
920.0,0.861
925.0,0.8667
930.0,0.87
935.0,0.8719
940.0,0.8724
945.0,0.8716
950.0,0.8665
955.0,0.8518
960.0,0.8214
965.0,0.7569
970.0,0.5562
975.0,0.2431
980.0,0.0867
985.0,0.0844
990.0,0.1119
995.0,0.0877
1000.0,0.1117
1005.0,0.0703
1010.0,0.0806
1015.0,0.2166
1020.0,0.4766
1025.0,0.7641
1030.0,0.8083
1035.0,0.8112
1040.0,0.7833
1045.0,0.664
1050.0,0.5515
1055.0,0.4397
1060.0,0.4464
1065.0,0.4658
1070.0,0.514
1075.0,0.4562
1080.0,0.4173
1085.0,0.4772
1090.0,0.5933
1095.0,0.8088
1100.0,0.8538
1105.0,0.8732
1110.0,0.8788
1115.0,0.8822
1120.0,0.8835
1125.0,0.8833
1130.0,0.8787
1135.0,0.8616
1140.0,0.8374
1145.0,0.7975
1150.0,0.7433
1155.0,0.5592
1160.0,0.4027
1165.0,0.2508
1170.0,0.2259
1175.0,0.2391
1180.0,0.2654
1185.0,0.2284
1190.0,0.1991
1195.0,0.1998
1200.0,0.3862
1205.0,0.5389
1210.0,0.6915
1215.0,0.7172
1220.0,0.7304
1225.0,0.7892
1230.0,0.7913
1235.0,0.8132
1240.0,0.8468
1245.0,0.8547
1250.0,0.853
1255.0,0.8507
1260.0,0.8504
1265.0,0.8501
1270.0,0.8503
1275.0,0.8508
1280.0,0.852
1285.0,0.8541
1290.0,0.8587
1295.0,0.8643
1300.0,0.8637
1305.0,0.8613
1310.0,0.8579
1315.0,0.8544
1320.0,0.8506
1325.0,0.8468
1330.0,0.8423
1335.0,0.8359
1340.0,0.8229
1345.0,0.8051
1350.0,0.7823
1355.0,0.7511
1360.0,0.698
1365.0,0.5766
1370.0,0.5274
1375.0,0.5152
1380.0,0.5304
1385.0,0.5548
1390.0,0.6125
1395.0,0.6239
1400.0,0.64
1405.0,0.7184
1410.0,0.7819
1415.0,0.804
1420.0,0.8045
1425.0,0.8011
1430.0,0.7945
1435.0,0.7818
1440.0,0.7455
1445.0,0.6991
1450.0,0.6445
1455.0,0.578
1460.0,0.5285
1465.0,0.4955
1470.0,0.3511
1475.0,0.2887
1480.0,0.2483
1485.0,0.2858
1490.0,0.272
1495.0,0.3489
1500.0,0.3228
1505.0,0.3179
1510.0,0.4621
1515.0,0.6358
1520.0,0.7878
1525.0,0.8167
1530.0,0.817
1535.0,0.7994
1540.0,0.7516
1545.0,0.6997
1550.0,0.6477
1555.0,0.6032
1560.0,0.546
1565.0,0.4645
1570.0,0.399
1575.0,0.3787
1580.0,0.3682
1585.0,0.4509
1590.0,0.4353
1595.0,0.4524
1600.0,0.531
1605.0,0.6359
1610.0,0.7259
1615.0,0.8016
1620.0,0.8431
1625.0,0.8535
1630.0,0.857
1635.0,0.8586
1640.0,0.8588
1645.0,0.8623
1650.0,0.857
1655.0,0.8551
1660.0,0.8514
1665.0,0.8463
1670.0,0.8335
1675.0,0.8127
1680.0,0.7865
1685.0,0.7678
1690.0,0.7602
1695.0,0.757
1700.0,0.749
1705.0,0.7234
1710.0,0.6677
1715.0,0.6533
1720.0,0.6674
1725.0,0.683
1730.0,0.6716
1735.0,0.6436
1740.0,0.6537
1745.0,0.7012
1750.0,0.7313
1755.0,0.7548
1760.0,0.7732
1765.0,0.7895
1770.0,0.8142
1775.0,0.8264
1780.0,0.8344
1785.0,0.8422
1790.0,0.8488
1795.0,0.8532
1800.0,0.8565
1805.0,0.8595
1810.0,0.8626
1815.0,0.8638
1820.0,0.8648
1825.0,0.8656
1830.0,0.8664
1835.0,0.8654
1840.0,0.8646
1845.0,0.8639
1850.0,0.863
1855.0,0.862
1860.0,0.8611
1865.0,0.8608
1870.0,0.8611
1875.0,0.8607
1880.0,0.861
1885.0,0.8613
1890.0,0.8605
1895.0,0.8574
1900.0,0.8522
1905.0,0.8584
